BTC_62100_ENTRY - FULL FRAME ANALYSIS
========================================================================================================================
Frame                  Luma   Size     RightW   BotR   BotG   BotC   BotY   MidT   MidG   MidP   MidB  
========================================================================================================================
day2_62100_0001.jpg    20.3   71093    4787     110    75     261    378    1600   89     50     158   
day2_62100_0002.jpg    19.9   80001    4658     115    56     275    400    1801   87     47     149   
day2_62100_0003.jpg    20.3   116668   4686     94     71     291    403    1495   78     58     157   
day2_62100_0004.jpg    20.3   116036   4684     96     71     291    403    1416   78     50     157   
day2_62100_0005.jpg    20.5   102818   4574     99     120    295    404    1452   80     41     131   
day2_62100_0006.jpg    21.5   93354    4571     1157   105    492    459    1425   89     42     134   
day2_62100_0007.jpg    21.5   75024    4575     1115   119    474    438    1396   89     29     153   
day2_62100_0008.jpg    21.5   67319    4582     1093   131    443    408    1357   92     20     160   
day2_62100_0009.jpg    21.5   58780    4537     1049   135    399    436    1285   103    34     122   
day2_62100_0010.jpg    21.5   52075    4540     1106   131    421    422    1259   92     27     133   
day2_62100_0011.jpg    21.5   47144    4580     1096   135    371    396    1257   89     27     133   
day2_62100_0012.jpg    21.5   43491    4549     999    151    303    371    1193   82     29     138   
day2_62100_0013.jpg    21.5   41548    4497     969    156    274    355    1122   96     12     136   
day2_62100_0014.jpg    21.5   41534    4497     969    156    274    355    1122   96     11     154   
day2_62100_0015.jpg    21.4   41474    4621     972    148    274    363    1119   96     14     155   
day2_62100_0016.jpg    21.4   41570    4617     944    118    274    363    1112   96     19     154   
day2_62100_0017.jpg    21.1   39765    4600     982    118    274    363    1115   96     22     154   
day2_62100_0018.jpg    21.3   40483    4627     1049   122    354    436    1194   68     18     144   
day2_62100_0019.jpg    21.3   40916    4605     1089   126    361    425    1197   61     18     145   
day2_62100_0020.jpg    21.6   41483    4637     853    121    689    434    2197   61     15     145   
day2_62100_0021.jpg    21.6   41532    4644     791    117    437    450    2284   98     20     146   
day2_62100_0022.jpg    21.3   40868    4644     1186   119    307    450    663    98     27     146   
day2_62100_0023.jpg    21.4   41253    4644     1043   117    389    450    1167   98     18     146   
day2_62100_0024.jpg    21.3   40817    4645     1018   107    424    450    1145   98     18     146   
day2_62100_0025.jpg    21.4   41093    4649     1014   106    400    450    1161   98     17     146   
day2_62100_0026.jpg    21.3   40878    4638     1015   106    399    450    1188   98     17     146   
day2_62100_0027.jpg    21.4   41115    4659     1017   104    412    448    1165   98     15     146   
