BTC_62100_ENTRY - STRIDE ANALYSIS
Frame                 Luma    Size      C_R     C_G     C_B     RedPx   GrnPx   Teal    Blue    Gold    Purple  BotR    BotC    WhtAnn  IndY    
day2_62100_0001.jpg   21.2    71093     21.5    21.3    20.3    51      0       34      3       1       0       3       2       68      21.0    
day2_62100_0002.jpg   20.3    80001     20.7    20.3    19.3    56      0       33      3       0       0       4       3       66      20.5    
day2_62100_0003.jpg   20.3    116668    20.5    20.4    19.3    52      0       24      3       0       2       3       4       67      20.9    
day2_62100_0004.jpg   19.9    116036    20.1    20.1    19.0    37      0       27      3       0       1       3       4       66      21.0    
day2_62100_0005.jpg   21.5    102818    21.6    21.6    20.6    41      0       28      3       1       1       3       4       66      21.4    
day2_62100_0006.jpg   21.5    93354     21.6    21.6    20.5    40      0       25      3       0       0       11      9       68      24.5    
day2_62100_0007.jpg   21.5    75024     21.6    21.6    20.5    43      0       26      3       2       0       8       8       68      24.5    
day2_62100_0008.jpg   21.5    67319     21.7    21.6    20.6    35      0       26      4       1       0       9       6       65      24.4    
day2_62100_0009.jpg   21.6    58780     21.7    21.7    20.6    34      0       25      3       1       0       7       6       63      24.6    
day2_62100_0010.jpg   21.5    52075     21.7    21.6    20.6    34      0       26      3       0       0       10      7       66      24.7    
day2_62100_0011.jpg   21.6    47144     21.8    21.7    20.7    36      0       22      1       1       0       5       7       69      24.5    
day2_62100_0012.jpg   21.6    43491     21.7    21.7    20.6    33      0       23      1       1       0       7       8       72      24.5    
day2_62100_0013.jpg   21.5    41548     21.7    21.6    20.6    36      0       23      1       0       0       5       5       68      24.5    
day2_62100_0014.jpg   21.5    41534     21.7    21.6    20.6    37      0       23      2       0       0       5       5       68      24.5    
day2_62100_0015.jpg   20.2    41474     20.3    20.3    19.2    37      0       23      2       0       0       5       5       68      24.3    
day2_62100_0016.jpg   20.2    41570     20.4    20.3    19.3    40      0       23      2       0       0       5       5       70      24.4    
day2_62100_0017.jpg   20.1    39765     20.3    20.2    19.2    39      0       23      2       0       0       5       5       69      23.7    
day2_62100_0018.jpg   20.1    40483     20.1    20.2    19.2    29      1       26      2       0       0       15      4       70      23.7    
day2_62100_0019.jpg   20.5    40916     20.7    20.6    19.5    32      1       25      2       0       0       16      5       69      23.6    
