Frame                 Luma    Size      C_B     RedPx   Teal    Blue    Gold    Purple  BotR    BotC    WhtAnn  
day3_63700_0001.jpg   21.9    84554     20.9    58      38      1       2       0       17      4       72      
day3_63700_0002.jpg   21.7    106306    21.0    52      34      3       1       2       17      7       69      
day3_63700_0003.jpg   21.6    127342    20.9    50      83      3       1       1       3       8       71      
day3_63700_0004.jpg   23.1    119684    22.3    58      88      5       1       1       8       10      72      
day3_63700_0005.jpg   21.7    105335    20.9    58      91      6       1       1       11      10      74      
day3_63700_0006.jpg   21.7    87097     20.9    58      89      4       0       1       7       6       71      
day3_63700_0007.jpg   21.2    72843     20.3    36      41      3       1       0       7       13      64      
day3_63700_0008.jpg   21.2    65092     20.4    41      29      4       1       0       15      10      68      
day3_63700_0009.jpg   21.2    59479     20.4    44      27      4       2       0       12      7       71      
day3_63700_0010.jpg   22.9    53829     22.1    37      14      3       2       0       14      6       67      
day3_63700_0011.jpg   21.3    46979     20.6    26      17      4       2       0       14      8       77      
day3_63700_0012.jpg   21.1    42844     20.3    41      7       3       0       0       14      6       70      
day3_63700_0013.jpg   21.0    41331     20.2    49      9       3       1       0       7       5       73      
day3_63700_0014.jpg   21.9    42096     20.9    95      75      3       0       0       3       9       73      
day3_63700_0015.jpg   22.0    41357     21.2    49      73      3       0       0       3       13      73      
day3_63700_0016.jpg   22.0    40565     21.2    41      70      3       0       0       2       17      73      
day3_63700_0017.jpg   21.3    41969     20.4    47      59      3       0       0       9       10      73      
day3_63700_0018.jpg   21.1    40042     20.3    53      59      3       0       0       9       10      74      
day3_63700_0019.jpg   22.0    43820     21.1    52      66      3       0       0       11      8       73      
day3_63700_0020.jpg   22.1    43946     21.2    55      105     4       0       1       8       17      71      
day3_63700_0021.jpg   22.1    43417     21.2    75      114     3       0       0       6       13      71      
day3_63700_0022.jpg   22.9    43564     21.9    91      117     2       1       0       10      11      74      
day3_63700_0023.jpg   22.5    42878     21.6    70      98      2       1       1       10      12      70      
day3_63700_0024.jpg   21.8    42649     20.9    65      70      3       1       1       7       7       73      
day3_63700_0025.jpg   21.9    41180     20.9    65      70      3       1       1       8       14      72      
day3_63700_0026.jpg   21.9    43088     21.0    69      74      2       1       1       8       15      73      
day3_63700_0027.jpg   22.7    43017     21.8    74      74      3       1       0       8       15      73      
day3_63700_0028.jpg   22.1    43466     21.2    74      73      4       1       0       7       15      74      
day3_63700_0029.jpg   22.9    44001     22.0    70      72      4       1       0       7       15      75      
day3_63700_0030.jpg   22.6    44882     21.6    70      72      3       1       0       7       15      72      
day3_63700_0031.jpg   23.8    44916     22.9    72      67      4       1       1       8       15      73      
day3_63700_0032.jpg   24.0    44792     23.0    75      68      4       1       0       7       15      71      
day3_63700_0033.jpg   22.5    44476     21.5    83      70      3       1       1       8       15      73      
day3_63700_0034.jpg   22.6    45954     21.6    76      72      6       1       1       8       15      71      
day3_63700_0035.jpg   23.7    43721     22.6    80      70      5       1       1       7       15      72      
day3_63700_0036.jpg   22.7    43620     21.6    82      72      5       1       1       7       15      74      
day3_63700_0037.jpg   23.2    43832     22.1    81      72      5       1       1       7       15      72      
day3_63700_0038.jpg   22.6    43695     21.6    82      71      5       1       1       7       15      74      
day3_63700_0039.jpg   22.9    44826     21.9    82      71      5       1       1       7       15      72      
day3_63700_0040.jpg   23.8    44946     22.9    79      68      5       1       1       7       15      71      
day3_63700_0041.jpg   23.2    43530     22.1    76      87      3       1       0       4       14      74      
day3_63700_0042.jpg   21.8    41201     20.7    58      90      3       1       1       6       12      70      
day3_63700_0043.jpg   22.4    42271     21.4    56      79      3       1       0       6       12      72      
day3_63700_0044.jpg   23.0    42072     21.9    34      70      3       0       1       6       11      72      
day3_63700_0045.jpg   22.3    42017     21.3    34      70      3       0       1       6       11      74      
day3_63700_0046.jpg   21.5    42141     20.5    58      64      3       0       0       7       7       72      
day3_63700_0047.jpg   21.8    42134     20.9    42      66      3       0       0       9       12      71      
day3_63700_0048.jpg   21.7    42301     20.7    43      66      3       0       0       9       12      70      
day3_63700_0049.jpg   21.6    41628     20.7    41      43      3       0       0       6       9       70      
day3_63700_0050.jpg   21.0    39854     20.1    39      47      3       0       0       6       9       70      
day3_63700_0051.jpg   20.8    42647     19.9    43      29      3       0       0       6       9       71      
day3_63700_0052.jpg   21.5    41973     20.6    36      34      3       0       0       3       12      70      
day3_63700_0053.jpg   20.9    42337     20.0    41      42      4       1       0       5       9       71      
day3_63700_0054.jpg   21.0    42466     20.1    39      34      4       0       0       3       7       70      
day3_63700_0055.jpg   21.1    43235     20.2    49      31      3       0       0       6       9       70      
day3_63700_0056.jpg   21.0    42613     20.1    49      31      3       0       0       6       9       70      
day3_63700_0057.jpg   20.9    42720     20.0    48      31      3       0       0       6       9       72      
day3_63700_0058.jpg   21.2    42339     20.3    49      32      3       0       0       6       10      72      
day3_63700_0059.jpg   21.1    40420     20.2    44      29      3       0       0       5       9       72      
day3_63700_0060.jpg   21.1    41787     20.3    36      30      3       1       0       8       11      75      
day3_63700_0061.jpg   21.8    42714     21.0    34      16      3       1       0       11      6       74      
day3_63700_0062.jpg   21.5    42481     20.8    28      4       2       0       0       11      6       74      
day3_63700_0063.jpg   22.2    42846     21.4    28      17      2       1       0       6       8       74      
day3_63700_0064.jpg   20.9    40063     20.1    33      32      2       0       0       6       5       73      
day3_63700_0065.jpg   21.2    40049     20.3    44      40      3       0       0       6       5       73      
day3_63700_0066.jpg   23.2    43181     22.2    60      60      2       0       1       8       5       73      
day3_63700_0067.jpg   21.8    41977     20.9    48      58      2       0       0       6       10      73      
day3_63700_0068.jpg   21.8    42922     20.9    39      73      2       0       0       6       10      74      
day3_63700_0069.jpg   23.1    41960     22.1    42      75      2       0       0       8       12      71      
day3_63700_0070.jpg   21.7    41778     20.8    46      74      2       0       0       7       12      72      
day3_63700_0071.jpg   21.5    41958     20.5    53      72      2       0       1       7       12      70      
day3_63700_0072.jpg   21.7    42281     20.7    47      76      2       1       0       11      13      74      
day3_63700_0073.jpg   21.9    42022     20.9    47      76      2       1       0       11      13      73      
day3_63700_0074.jpg   21.5    41893     20.5    47      76      2       1       0       11      13      72      
day3_63700_0075.jpg   21.7    40176     20.6    47      76      2       1       0       11      13      72      
day3_63700_0076.jpg   22.1    41797     21.1    52      75      2       1       0       12      13      74      
day3_63700_0077.jpg   21.6    42062     20.6    51      76      2       1       0       9       13      75      
