Frame                 Size      Luma    C_B     RedPx   Teal    Blue    Gold    BotR    BotC    WhtAnn  
day2_near_0001.jpg    92626     22.9    22.1    44      54      5       0       10      4       67      
day2_near_0002.jpg    118611    25.0    24.3    52      48      5       3       7       5       69      
day2_near_0003.jpg    142841    24.0    23.3    44      76      5       4       9       9       68      
day2_near_0004.jpg    141546    23.8    23.1    47      77      4       4       11      9       68      
day2_near_0005.jpg    116537    23.3    22.7    90      15      4       4       8       14      69      
day2_near_0006.jpg    97525     23.9    23.2    45      67      4       6       8       10      68      
day2_near_0007.jpg    82066     24.0    23.2    38      66      4       5       10      6       66      
day2_near_0008.jpg    65673     22.8    22.1    79      12      14      0       10      3       66      
day2_near_0009.jpg    62886     24.3    23.6    37      114     6       5       15      7       71      
day2_near_0010.jpg    52997     23.2    22.3    51      99      6       0       3       5       72      
day2_near_0011.jpg    55510     25.5    24.8    52      92      7       3       14      9       76      
day2_near_0012.jpg    53198     25.9    25.2    66      107     5       5       10      6       74      
day2_near_0013.jpg    53330     25.8    25.2    65      97      5       3       14      10      73      
day2_near_0014.jpg    56781     27.1    26.4    84      81      9       3       9       5       74      
day2_near_0015.jpg    56849     26.9    26.2    82      108     6       4       21      5       72      
day2_near_0016.jpg    56210     26.6    25.8    81      97      6       6       11      4       72      
day2_near_0017.jpg    53752     26.6    25.9    75      113     4       5       11      10      73      
day2_near_0018.jpg    52621     25.5    24.9    78      78      6       4       14      9       73      
day2_near_0019.jpg    51036     24.2    23.5    79      75      6       4       14      10      72      
day2_near_0020.jpg    52005     25.7    25.1    54      70      9       4       7       5       73      
day2_near_0021.jpg    51856     24.6    24.0    43      97      8       4       4       6       73      
day2_near_0022.jpg    51549     24.5    23.7    60      70      3       7       8       3       73      
day2_near_0023.jpg    51906     24.5    23.7    57      64      4       5       10      2       76      
day2_near_0024.jpg    51276     24.4    23.8    69      63      5       4       31      2       76      
day2_near_0025.jpg    51213     24.7    24.0    72      160     8       4       5       6       76      
day2_near_0026.jpg    51292     25.7    25.0    72      159     8       4       5       6       75      
day2_near_0027.jpg    51377     24.5    23.8    71      159     8       4       5       6       76      
day2_near_0028.jpg    51215     24.3    23.7    69      155     8       4       5       6       75      
day2_near_0029.jpg    51796     24.2    23.5    60      107     6       0       5       3       76      
day2_near_0030.jpg    50435     24.3    23.6    60      105     8       2       6       3       76      
day2_near_0031.jpg    51713     25.0    24.3    69      147     5       5       7       4       76      
day2_near_0032.jpg    53812     25.3    24.6    95      153     6       6       8       2       76      
day2_near_0033.jpg    52611     25.2    24.5    84      126     7       6       7       2       76      
day2_near_0034.jpg    52206     25.0    24.3    85      116     9       5       7       2       76      
day2_near_0035.jpg    53394     24.8    24.1    71      117     5       5       10      3       76      
day2_near_0036.jpg    51964     24.4    23.8    65      132     5       5       6       2       76      
day2_near_0037.jpg    52052     24.8    24.2    62      135     4       6       6       2       76      
day2_near_0038.jpg    50418     24.4    23.7    61      139     4       6       6       2       76      
day2_near_0039.jpg    50462     24.5    23.8    60      135     4       6       6       2       76      
day2_near_0040.jpg    52494     24.6    23.9    61      139     4       6       6       2       76      
day2_near_0041.jpg    51879     24.9    24.3    60      129     4       6       6       2       76      
day2_near_0042.jpg    51900     25.4    24.8    58      128     4       6       5       2       76      
day2_near_0043.jpg    55012     28.2    27.7    96      183     6       7       3       2       74      
day2_near_0044.jpg    52431     26.9    26.1    70      153     5       8       3       2       74      
day2_near_0045.jpg    54335     27.5    26.9    98      185     5       8       3       2       74      
