Frame                 Size      Luma    C_B     RedPx   Teal    Blue    Gold    BotR    BotC    WhtAnn  
day2_silver_0001.jpg  73604     21.6    20.5    92      125     3       0       9       4       68      
day2_silver_0002.jpg  91926     23.0    21.8    111     178     2       0       10      5       75      
day2_silver_0003.jpg  131091    22.3    21.3    126     161     2       0       7       4       75      
day2_silver_0004.jpg  126477    22.3    21.2    132     161     1       0       7       4       65      
day2_silver_0005.jpg  109415    22.3    21.3    140     153     1       0       6       5       65      
day2_silver_0006.jpg  98500     25.0    24.1    142     132     5       0       12      4       67      
day2_silver_0007.jpg  85587     24.9    24.0    134     130     5       0       12      4       68      
day2_silver_0008.jpg  64710     23.3    22.2    87      229     1       0       8       5       64      
day2_silver_0009.jpg  56939     23.5    22.3    72      225     3       0       10      4       74      
day2_silver_0010.jpg  49846     23.3    22.1    90      187     3       0       5       4       77      
day2_silver_0011.jpg  45990     23.3    22.1    102     182     4       0       6       3       79      
day2_silver_0012.jpg  42256     24.7    23.6    131     158     4       0       4       4       81      
day2_silver_0013.jpg  41828     22.4    21.3    101     145     4       0       5       4       79      
day2_silver_0014.jpg  41485     23.0    21.9    137     161     4       0       8       4       78      
day2_silver_0015.jpg  41499     23.7    22.7    108     154     4       0       7       4       78      
day2_silver_0016.jpg  39950     22.6    21.5    115     154     4       0       7       4       78      
day2_silver_0017.jpg  41415     24.4    23.3    110     151     3       0       9       4       78      
day2_silver_0018.jpg  42409     24.6    23.5    96      141     3       0       14      4       79      
day2_silver_0019.jpg  42520     23.1    22.1    97      143     3       0       12      4       78      
day2_silver_0020.jpg  42884     23.2    22.3    70      97      3       0       5       4       78      
day2_silver_0021.jpg  41082     22.9    21.9    102     110     4       0       4       5       68      
day2_silver_0022.jpg  34985     19.9    19.1    34      13      3       0       7       5       68      
day2_silver_0023.jpg  34957     19.9    19.1    34      13      3       0       7       5       68      
day2_silver_0024.jpg  35977     20.3    19.5    25      7       2       0       6       5       77      
day2_silver_0025.jpg  34615     19.6    18.8    28      4       2       0       7       5       69      
day2_silver_0026.jpg  34418     19.5    18.7    26      4       2       0       11      5       68      
day2_silver_0027.jpg  36494     19.9    19.1    34      7       2       0       16      5       69      
day2_silver_0028.jpg  35852     20.1    19.2    34      5       3       0       5       5       78      
day2_silver_0029.jpg  36517     20.3    19.5    46      14      3       0       5       5       78      
day2_silver_0030.jpg  36528     20.3    19.4    45      12      2       0       6       5       78      
day2_silver_0031.jpg  34987     20.3    19.4    60      12      2       0       6       5       69      
day2_silver_0032.jpg  34983     20.1    19.2    58      15      2       0       16      5       69      
day2_silver_0033.jpg  37621     20.4    19.4    60      18      2       0       12      5       77      
day2_silver_0034.jpg  38009     21.8    20.8    69      43      2       0       10      5       78      
day2_silver_0035.jpg  37957     21.8    20.8    72      45      2       0       15      5       78      
day2_silver_0036.jpg  37898     20.5    19.5    72      44      2       0       18      5       79      
day2_silver_0037.jpg  37949     21.3    20.3    71      44      2       0       18      5       79      
day2_silver_0038.jpg  37898     21.3    20.3    71      44      2       0       15      5       78      
day2_silver_0039.jpg  38022     20.3    19.4    72      45      2       0       18      5       78      
day2_silver_0040.jpg  37779     20.6    19.6    73      44      3       0       18      5       78      
day2_silver_0041.jpg  37666     21.7    20.7    78      43      3       0       14      4       80      
day2_silver_0042.jpg  37998     21.7    20.7    77      46      3       0       14      4       80      
day2_silver_0043.jpg  38030     21.4    20.4    63      51      3       0       9       4       79      
day2_silver_0044.jpg  36327     20.5    19.5    49      45      3       0       9       4       69      
day2_silver_0045.jpg  36218     21.2    20.1    64      77      4       0       2       4       69      
day2_silver_0046.jpg  37860     20.6    19.6    59      25      4       0       10      4       79      
day2_silver_0047.jpg  38128     20.4    19.3    46      54      4       0       24      4       78      
day2_silver_0048.jpg  38431     21.5    20.4    47      56      3       0       24      4       78      
day2_silver_0049.jpg  38201     21.4    20.3    50      56      3       0       25      4       80      
day2_silver_0050.jpg  38440     21.7    20.6    44      55      3       0       27      4       80      
day2_silver_0051.jpg  37981     20.8    19.7    57      56      1       0       21      3       79      
day2_silver_0052.jpg  37960     20.8    19.7    56      56      1       0       21      4       79      
day2_silver_0053.jpg  37951     20.8    19.7    58      56      1       0       21      4       79      
day2_silver_0054.jpg  37922     20.8    19.7    56      56      1       0       20      4       80      
day2_silver_0055.jpg  38493     20.5    19.5    58      56      1       0       20      4       80      
